year,discipline,athlete_count
1896,Artistic Gymnastics (Gymnastics),22
1896,Athletics,64
1896,Cycling Road (Cycling),16
1896,Cycling Track (Cycling),2
1896,Fencing,18
1896,Shooting,33
1896,Swimming (Aquatics),14
1896,Tennis,10
1896,Weightlifting,1
1896,Wrestling,2
1900,Archery,24
1900,Artistic Gymnastics (Gymnastics),137
1900,Athletics,125
1900,Ballooning (Air Sports),1
1900,Basque pelota,2
1900,Cricket,24
1900,Croquet,10
1900,Cycling Track (Cycling),71
1900,Equestrian Dressage (Equestrian),11
1900,Equestrian Driving (Equestrian),26
1900,Equestrian Jumping (Equestrian),20
1900,Fencing,257
1900,Football (Football),35
1900,Golf,22
1900,Polo,20
1900,Rowing,99
1900,Rugby (Rugby),47
1900,Sailing,96
1900,Shooting,71
1900,Swimming (Aquatics),78
1900,Tennis,25
1900,Tug-Of-War,5
1900,Water Polo (Aquatics),28
1904,Archery,29
1904,Artistic Gymnastics (Gymnastics),119
1904,Athletics,130
1904,Boxing,18
1904,Cycling Track (Cycling),18
1904,Diving (Aquatics),5
1904,Fencing,11
1904,Football (Football),35
1904,Golf,77
1904,Lacrosse,36
1904,Roque,4
1904,Rowing,46
1904,Swimming (Aquatics),32
1904,Tennis,33
1904,Tug-Of-War,25
1904,Water Polo (Aquatics),7
1904,Weightlifting,2
1904,Wrestling,40
1908,Archery,57
1908,Artistic Gymnastics (Gymnastics),318
1908,Athletics,476
1908,Bicycle Polo (Cycling),1
1908,Boxing,43
1908,Cycling Track (Cycling),97
1908,Diving (Aquatics),38
1908,Fencing,141
1908,Figure Skating (Skating),21
1908,Football (Football),76
1908,Glíma,1
1908,Hockey,69
1908,Jeu De Paume,11
1908,Lacrosse,24
1908,Motorboating,14
1908,Polo,12
1908,Racquets,8
1908,Rowing,82
1908,Rugby (Rugby),30
1908,Sailing,64
1908,Shooting,217
1908,Swimming (Aquatics),103
1908,Tennis,56
1908,Tug-Of-War,30
1908,Water Polo (Aquatics),13
1908,Wrestling,110
1912,Art Competitions,1
1912,Artistic Gymnastics (Gymnastics),246
1912,Athletics,565
1912,Cycling Road (Cycling),123
1912,Diving (Aquatics),57
1912,Equestrian Dressage (Equestrian),13
1912,Equestrian Eventing (Equestrian),9
1912,Equestrian Jumping (Equestrian),40
1912,Fencing,199
1912,Football (Football),169
1912,Modern Pentathlon,26
1912,Rowing,184
1912,Sailing,109
1912,Shooting,278
1912,Swimming (Aquatics),126
1912,Tennis,86
1912,Tug-Of-War,16
1912,Water Polo (Aquatics),31
1912,Wrestling,169
1920,Archery,30
1920,Artistic Gymnastics (Gymnastics),249
1920,Athletics,520
1920,Boxing,116
1920,Cycling Road (Cycling),46
1920,Cycling Track (Cycling),57
1920,Diving (Aquatics),53
1920,Equestrian Dressage (Equestrian),14
1920,Equestrian Eventing (Equestrian),12
1920,Equestrian Jumping (Equestrian),45
1920,Equestrian Vaulting (Equestrian),17
1920,Fencing,149
1920,Figure Skating (Skating),26
1920,Football (Football),193
1920,Hockey,51
1920,Ice Hockey (Ice Hockey),63
1920,Modern Pentathlon,19
1920,Polo,17
1920,Rowing,134
1920,Rugby (Rugby),28
1920,Sailing,101
1920,Shooting,237
1920,Swimming (Aquatics),112
1920,Tennis,74
1920,Tug-Of-War,40
1920,Water Polo (Aquatics),82
1920,Weightlifting,53
1920,Wrestling,151
1924,Art Competitions,5
1924,Artistic Gymnastics (Gymnastics),72
1924,Athletics,693
1924,Bobsleigh (Bobsleigh),39
1924,Boxing,188
1924,Cross Country Skiing (Skiing),60
1924,Curling,15
1924,Cycling Road (Cycling),71
1924,Cycling Track (Cycling),68
1924,Diving (Aquatics),71
1924,Equestrian Dressage (Equestrian),22
1924,Equestrian Eventing (Equestrian),30
1924,Equestrian Jumping (Equestrian),43
1924,Fencing,264
1924,Figure Skating (Skating),31
1924,Football (Football),304
1924,Ice Hockey (Ice Hockey),90
1924,Military Ski Patrol (Skiing),21
1924,Modern Pentathlon,37
1924,Nordic Combined (Skiing),11
1924,Polo,24
1924,Rowing,199
1924,Rugby (Rugby),54
1924,Sailing,65
1924,Savate,1
1924,Shooting,256
1924,Ski Jumping (Skiing),11
1924,Speed Skating (Skating),29
1924,Swimming (Aquatics),166
1924,Tennis,126
1924,Water Polo (Aquatics),100
1924,Weightlifting,106
1924,Wrestling,229
1928,Art Competitions,5
1928,Artistic Gymnastics (Gymnastics),144
1928,Athletics,758
1928,Bobsleigh (Bobsleigh),117
1928,Boxing,148
1928,Cross Country Skiing (Skiing),74
1928,Cycling Road (Cycling),75
1928,Cycling Track (Cycling),73
1928,Diving (Aquatics),61
1928,Equestrian Dressage (Equestrian),28
1928,Equestrian Eventing (Equestrian),39
1928,Equestrian Jumping (Equestrian),46
1928,Fencing,259
1928,Figure Skating (Skating),51
1928,Football (Football),226
1928,Hockey,141
1928,Ice Hockey (Ice Hockey),125
1928,Military Ski Patrol (Skiing),5
1928,Modern Pentathlon,36
1928,Nordic Combined (Skiing),22
1928,Rowing,246
1928,Sailing,127
1928,Skeleton (Bobsleigh),11
1928,Ski Jumping (Skiing),26
1928,Speed Skating (Skating),39
1928,Swimming (Aquatics),187
1928,Water Polo (Aquatics),107
1928,Weightlifting,94
1928,Wrestling,165
1932,Art Competitions,6
1932,Artistic Gymnastics (Gymnastics),46
1932,Athletics,395
1932,Bobsleigh (Bobsleigh),45
1932,Boxing,85
1932,Cross Country Skiing (Skiing),59
1932,Cycling Road (Cycling),36
1932,Cycling Track (Cycling),31
1932,Diving (Aquatics),28
1932,Equestrian Dressage (Equestrian),10
1932,Equestrian Eventing (Equestrian),10
1932,Equestrian Jumping (Equestrian),11
1932,Fencing,107
1932,Figure Skating (Skating),43
1932,Hockey,40
1932,Ice Hockey (Ice Hockey),50
1932,Lacrosse,1
1932,Modern Pentathlon,22
1932,Nordic Combined (Skiing),21
1932,Rowing,152
1932,Sailing,54
1932,Shooting,40
1932,Ski Jumping (Skiing),20
1932,Speed Skating (Skating),31
1932,Swimming (Aquatics),130
1932,Water Polo (Aquatics),46
1932,Weightlifting,29
1932,Wrestling,79
1936,Alpine Skiing (Skiing),103
1936,Art Competitions,6
1936,Artistic Gymnastics (Gymnastics),175
1936,Athletics,793
1936,Basketball (Basketball),200
1936,Bobsleigh (Bobsleigh),94
1936,Boxing,181
1936,Canoe Marathon (Canoeing),66
1936,Canoe Sprint (Canoeing),53
1936,Cross Country Skiing (Skiing),97
1936,Cycling Road (Cycling),99
1936,Cycling Track (Cycling),76
1936,Diving (Aquatics),69
1936,Equestrian Dressage (Equestrian),28
1936,Equestrian Eventing (Equestrian),45
1936,Equestrian Jumping (Equestrian),54
1936,Fencing,315
1936,Figure Skating (Skating),86
1936,Football (Football),202
1936,Handball,105
1936,Hockey,172
1936,Ice Hockey (Ice Hockey),173
1936,Military Ski Patrol (Skiing),1
1936,Modern Pentathlon,39
1936,Nordic Combined (Skiing),28
1936,Polo,21
1936,Rowing,315
1936,Sailing,172
1936,Shooting,140
1936,Ski Jumping (Skiing),38
1936,Speed Skating (Skating),52
1936,Swimming (Aquatics),251
1936,Water Polo (Aquatics),144
1936,Weightlifting,80
1936,Wrestling,200
1948,Alpine Skiing (Skiing),169
1948,Art Competitions,3
1948,Artistic Gymnastics (Gymnastics),211
1948,Athletics,754
1948,Basketball (Basketball),288
1948,Bobsleigh (Bobsleigh),70
1948,Boxing,208
1948,Canoe Marathon (Canoeing),32
1948,Canoe Sprint (Canoeing),78
1948,Cross Country Skiing (Skiing),106
1948,Cycling Road (Cycling),101
1948,Cycling Track (Cycling),87
1948,Diving (Aquatics),64
1948,Equestrian Dressage (Equestrian),19
1948,Equestrian Eventing (Equestrian),39
1948,Equestrian Jumping (Equestrian),44
1948,Fencing,298
1948,Figure Skating (Skating),64
1948,Football (Football),229
1948,Hockey,196
1948,Ice Hockey (Ice Hockey),141
1948,Military Ski Patrol (Skiing),3
1948,Modern Pentathlon,44
1948,Rowing,310
1948,Sailing,187
1948,Shooting,188
1948,Skeleton (Bobsleigh),13
1948,Ski Jumping (Skiing),42
1948,Speed Skating (Skating),68
1948,Swimming (Aquatics),259
1948,Water Polo (Aquatics),158
1948,Weightlifting,120
1948,Winter Pentathlon,6
1948,Wrestling,219
1952,Alpine Skiing (Skiing),166
1952,Art Competitions,2
1952,Artistic Gymnastics (Gymnastics),319
1952,Athletics,980
1952,Bandy,1
1952,Basketball (Basketball),293
1952,Bobsleigh (Bobsleigh),70
1952,Boxing,255
1952,Canoe Marathon (Canoeing),56
1952,Canoe Sprint (Canoeing),103
1952,Cross Country Skiing (Skiing),137
1952,Cycling Road (Cycling),111
1952,Cycling Track (Cycling),104
1952,Diving (Aquatics),76
1952,Equestrian Dressage (Equestrian),26
1952,Equestrian Eventing (Equestrian),57
1952,Equestrian Jumping (Equestrian),51
1952,Fencing,290
1952,Figure Skating (Skating),63
1952,Football (Football),303
1952,Hockey,160
1952,Ice Hockey (Ice Hockey),147
1952,Modern Pentathlon,51
1952,Nordic Combined (Skiing),1
1952,Rowing,404
1952,Sailing,227
1952,Shooting,218
1952,Ski Jumping (Skiing),42
1952,Speed Skating (Skating),67
1952,Swimming (Aquatics),320
1952,Water Polo (Aquatics),191
1952,Weightlifting,142
1952,Wrestling,244
1956,Alpine Skiing (Skiing),183
1956,Artistic Gymnastics (Gymnastics),128
1956,Athletics,732
1956,Australian Rules Football,1
1956,Basketball (Basketball),169
1956,Bobsleigh (Bobsleigh),102
1956,Boxing,161
1956,Canoe Marathon (Canoeing),32
1956,Canoe Sprint (Canoeing),81
1956,Cross Country Skiing (Skiing),149
1956,Cycling Road (Cycling),88
1956,Cycling Track (Cycling),73
1956,Diving (Aquatics),60
1956,Fencing,168
1956,Figure Skating (Skating),61
1956,Football (Football),145
1956,Hockey,177
1956,Ice Hockey (Ice Hockey),169
1956,Modern Pentathlon,39
1956,Nordic Combined (Skiing),32
1956,Rowing,242
1956,Sailing,154
1956,Shooting,156
1956,Ski Jumping (Skiing),48
1956,Speed Skating (Skating),83
1956,Swimming (Aquatics),241
1956,Water Polo (Aquatics),98
1956,Weightlifting,105
1956,Wrestling,173
1960,Alpine Skiing (Skiing),135
1960,Artistic Gymnastics (Gymnastics),254
1960,Athletics,1040
1960,Basketball (Basketball),192
1960,Biathlon,30
1960,Boxing,281
1960,Canoe Sprint (Canoeing),173
1960,Cross Country Skiing (Skiing),107
1960,Cycling Road (Cycling),173
1960,Cycling Track (Cycling),124
1960,Diving (Aquatics),75
1960,Equestrian Dressage (Equestrian),17
1960,Equestrian Eventing (Equestrian),73
1960,Equestrian Jumping (Equestrian),69
1960,Fencing,353
1960,Figure Skating (Skating),71
1960,Football (Football),238
1960,Hockey,253
1960,Ice Hockey (Ice Hockey),152
1960,Modern Pentathlon,58
1960,Nordic Combined (Skiing),29
1960,Rowing,414
1960,Sailing,290
1960,Shooting,311
1960,Ski Jumping (Skiing),40
1960,Speed Skating (Skating),103
1960,Swimming (Aquatics),383
1960,Water Polo (Aquatics),154
1960,Weightlifting,172
1960,Wrestling,324
1964,Alpine Skiing (Skiing),174
1964,Artistic Gymnastics (Gymnastics),213
1964,Athletics,1032
1964,Basketball (Basketball),189
1964,Biathlon,51
1964,Bobsleigh (Bobsleigh),81
1964,Boxing,269
1964,Canoe Sprint (Canoeing),145
1964,Cross Country Skiing (Skiing),144
1964,Cycling Road (Cycling),182
1964,Cycling Track (Cycling),121
1964,Diving (Aquatics),80
1964,Equestrian Dressage (Equestrian),22
1964,Equestrian Eventing (Equestrian),48
1964,Equestrian Jumping (Equestrian),46
1964,Fencing,258
1964,Figure Skating (Skating),88
1964,Football (Football),220
1964,Hockey,237
1964,Ice Hockey (Ice Hockey),271
1964,Judo,72
1964,Luge,67
1964,Modern Pentathlon,33
1964,Nordic Combined (Skiing),30
1964,Rowing,370
1964,Sailing,225
1964,Shooting,262
1964,Ski Jumping (Skiing),56
1964,Speed Skating (Skating),134
1964,Swimming (Aquatics),406
1964,Volleyball (Volleyball),182
1964,Water Polo (Aquatics),137
1964,Weightlifting,149
1964,Wrestling,275
1968,Alpine Skiing (Skiing),191
1968,Artistic Gymnastics (Gymnastics),218
1968,Athletics,1065
1968,Basketball (Basketball),191
1968,Biathlon,72
1968,Bobsleigh (Bobsleigh),90
1968,Boxing,307
1968,Canoe Sprint (Canoeing),184
1968,Cross Country Skiing (Skiing),144
1968,Cycling Road (Cycling),195
1968,Cycling Track (Cycling),134
1968,Diving (Aquatics),81
1968,Equestrian Dressage (Equestrian),26
1968,Equestrian Eventing (Equestrian),49
1968,Equestrian Jumping (Equestrian),50
1968,Fencing,278
1968,Figure Skating (Skating),100
1968,Football (Football),276
1968,Hockey,259
1968,Ice Hockey (Ice Hockey),250
1968,Luge,87
1968,Modern Pentathlon,45
1968,Nordic Combined (Skiing),39
1968,Rowing,353
1968,Sailing,251
1968,Shooting,351
1968,Ski Jumping (Skiing),64
1968,Speed Skating (Skating),129
1968,Swimming (Aquatics),470
1968,Volleyball (Volleyball),210
1968,Water Polo (Aquatics),162
1968,Weightlifting,160
1968,Wrestling,297
1972,Alpine Skiing (Skiing),144
1972,Archery,95
1972,Artistic Gymnastics (Gymnastics),231
1972,Athletics,1356
1972,Basketball (Basketball),191
1972,Biathlon,62
1972,Bobsleigh (Bobsleigh),80
1972,Boxing,355
1972,Canoe Slalom (Canoeing),121
1972,Canoe Sprint (Canoeing),209
1972,Cross Country Skiing (Skiing),151
1972,Cycling Road (Cycling),217
1972,Cycling Track (Cycling),142
1972,Diving (Aquatics),91
1972,Equestrian Dressage (Equestrian),33
1972,Equestrian Eventing (Equestrian),72
1972,Equestrian Jumping (Equestrian),74
1972,Fencing,302
1972,Figure Skating (Skating),67
1972,Football (Football),271
1972,Handball,244
1972,Hockey,274
1972,Ice Hockey (Ice Hockey),211
1972,Judo,148
1972,Luge,83
1972,Modern Pentathlon,58
1972,Nordic Combined (Skiing),38
1972,Rowing,440
1972,Sailing,323
1972,Shooting,397
1972,Ski Jumping (Skiing),59
1972,Speed Skating (Skating),118
1972,Swimming (Aquatics),537
1972,Volleyball (Volleyball),233
1972,Water Polo (Aquatics),176
1972,Weightlifting,188
1972,Wrestling,388
1976,Alpine Skiing (Skiing),181
1976,Archery,64
1976,Artistic Gymnastics (Gymnastics),176
1976,Athletics,1074
1976,Basketball (Basketball),214
1976,Biathlon,74
1976,Bobsleigh (Bobsleigh),92
1976,Boxing,278
1976,Canoe Sprint (Canoeing),245
1976,Cross Country Skiing (Skiing),162
1976,Cycling Road (Cycling),184
1976,Cycling Track (Cycling),111
1976,Diving (Aquatics),80
1976,Equestrian Dressage (Equestrian),27
1976,Equestrian Eventing (Equestrian),48
1976,Equestrian Jumping (Equestrian),60
1976,Fencing,285
1976,Figure Skating (Skating),105
1976,Football (Football),208
1976,Handball,245
1976,Hockey,179
1976,Ice Hockey (Ice Hockey),217
1976,Judo,136
1976,Luge,94
1976,Modern Pentathlon,44
1976,Nordic Combined (Skiing),34
1976,Rowing,593
1976,Sailing,257
1976,Shooting,344
1976,Ski Jumping (Skiing),59
1976,Speed Skating (Skating),111
1976,Swimming (Aquatics),479
1976,Volleyball (Volleyball),216
1976,Water Polo (Aquatics),131
1976,Weightlifting,173
1976,Wrestling,330
1980,Alpine Skiing (Skiing),174
1980,Archery,67
1980,Artistic Gymnastics (Gymnastics),127
1980,Athletics,980
1980,Basketball (Basketball),215
1980,Biathlon,76
1980,Bobsleigh (Bobsleigh),78
1980,Boxing,272
1980,Canoe Sprint (Canoeing),183
1980,Cross Country Skiing (Skiing),132
1980,Cycling Road (Cycling),156
1980,Cycling Track (Cycling),74
1980,Diving (Aquatics),67
1980,Equestrian Dressage (Equestrian),14
1980,Equestrian Eventing (Equestrian),28
1980,Equestrian Jumping (Equestrian),26
1980,Fencing,189
1980,Figure Skating (Skating),86
1980,Football (Football),257
1980,Handball,249
1980,Hockey,187
1980,Ice Hockey (Ice Hockey),239
1980,Judo,182
1980,Luge,80
1980,Modern Pentathlon,42
1980,Nordic Combined (Skiing),31
1980,Rowing,470
1980,Sailing,156
1980,Shooting,239
1980,Ski Jumping (Skiing),51
1980,Speed Skating (Skating),128
1980,Swimming (Aquatics),334
1980,Volleyball (Volleyball),206
1980,Water Polo (Aquatics),132
1980,Weightlifting,172
1980,Wrestling,266
1984,Alpine Skiing (Skiing),226
1984,Archery,109
1984,Artistic Gymnastics (Gymnastics),136
1984,Artistic Swimming (Aquatics),50
1984,Athletics,1299
1984,Baseball (Baseball/Softball),6
1984,Basketball (Basketball),213
1984,Biathlon,95
1984,Bobsleigh (Bobsleigh),111
1984,Boxing,355
1984,Canoe Sprint (Canoeing),195
1984,Cross Country Skiing (Skiing),177
1984,Cycling Road (Cycling),233
1984,Cycling Track (Cycling),126
1984,Diving (Aquatics),80
1984,Equestrian Dressage (Equestrian),43
1984,Equestrian Eventing (Equestrian),48
1984,Equestrian Jumping (Equestrian),66
1984,Fencing,266
1984,Figure Skating (Skating),114
1984,Football (Football),247
1984,Handball,262
1984,Hockey,287
1984,Ice Hockey (Ice Hockey),239
1984,Judo,212
1984,Luge,80
1984,Modern Pentathlon,53
1984,Nordic Combined (Skiing),28
1984,Rhythmic Gymnastics (Gymnastics),33
1984,Rowing,447
1984,Sailing,304
1984,Shooting,460
1984,Ski Jumping (Skiing),65
1984,Speed Skating (Skating),139
1984,Swimming (Aquatics),496
1984,Tennis,22
1984,Volleyball (Volleyball),211
1984,Water Polo (Aquatics),154
1984,Weightlifting,186
1984,Wrestling,267
1988,Alpine Skiing (Skiing),273
1988,Archery,146
1988,Artistic Gymnastics (Gymnastics),179
1988,Artistic Swimming (Aquatics),46
1988,Athletics,1631
1988,Badminton,15
1988,Baseball (Baseball/Softball),23
1988,Basketball (Basketball),238
1988,Biathlon,90
1988,Bobsleigh (Bobsleigh),135
1988,Boxing,434
1988,Canoe Sprint (Canoeing),275
1988,Cross Country Skiing (Skiing),197
1988,Curling,14
